čaxšišn	čašiš
čē	či
čegāmag	čagāma
čehel	ihil
čēlān	čēlān
čēr	čēr
čīdan	čīdan
čihr	čihr
čihrag	čihrag
čim	čim
čīn	čīn
čīnag	čīna
činār	činār
čirāɣ	čirāɣ
čiyōn	čūn
čōb	čōb
čōbag	čōba
dad	dad
dād	dād
dād	dād
dādan	dādan
dādār	dādār
dadestān	dadestān
dādwar	dādwar
daftar	daftar
dagr	dēr
dagrand	dērand
dah	dih
dah	dah
dahān	dahān
dahigān	dihgān
dahlīz	dahlīz
dahom	dahom
dālman	dālman
dam	damīdan
dām	dām
dām	dām
dāmād	dāmād
dān	dān
dān	dān
dānag	dānag
dandān	dandān
dānistan	dānistan
dar	dar
dār	dār
dār	dār
dār	dār
darāɣ	darāy
darband	darband
dard	dard
dardōmand	dardōmand
dargāh	dargāh
darmān	darmān
darr	darr
darrīdan	darrīdan
dārūg	dārū
dārwāzīg	dārbāz
darz	darz
darzīg	darzī
dās	dās
dašnag	dašna
dast	dast
dašt	dašt
dastag	dasta
dastagird	dastgird
daštān	daštān
dāštan	dāštan
dastgīr	dastgīr
dastkārīh	dastkārī
dastwar	dastūr
dastyār	dastyār
daw	daw
dawāl	dawāl
dawāl	dawāl
dawīdan	dawīdan
daxmag	daxma
day	day
dāyag	dāya
dēbāg	dba
dēg	dēg
dēn	dīn
dēnār	dīnār
dēnīg	dīnī
dēw	dēw
dēwān	dēwān
dēwānag	dēwāna
dēwār	dēwār
dēwōk	dēwuh
dibīr	dibīr
dibīrestān	dibīrestān
dīdan	dīdan
dīdār	dīdār
dil	dil
dilēr	dilēr
diz	diz
dō	du
dōgānag	dugāna
dōk	dōk
dōl	dōl
dōpahikar	dupaikar
dōpāy	dupā
dōs	dōs
dōš	dōš
dōš	dōš
dōš	dōš
dōšīzag	dōšīza
dōst	dōst
dōwom	dōwom
dōxtan	dōxtan
dōxtan	dōxtan
dōz	dōz
drafš	drafš
drafš	drafš
drafšīdan	drafšīdan
drahm	dirham
dramanag	dirmana
drang	dirang
draxt	diraxt
drayāb	daryāb
drayābār	daryābār
drāyīdan	darāyīdan
drāz	dirāz
driyōš	daryōš
driyōš	darwēš
drōd	darōd
drōn	darūna
drōn	darūn
drūn	diraw
drust	durust
društ	durušt
dūd	dūd
dūdag	dūda
dudīgar	dīgar
dumb	dumb
dūr	dūr
durgar	durgar
duščihr drūdan	durūdan
dušmen	dušman
dušmenišnnām	dušmenišnnām
dušwār	dušwār
dušwīrxwār	dušwīrxwār
duxt	duxt
duxtar	duxtar
duz	duzdīdan
duzd	dud
duzīdan	duzdīdan
dwāzdah	duwāzdah
ēbārag	ewār
ēč	hēč
ēd rāy čē	zērā
ēdar	ēdar
ēdōn	ēdūn
ēk	yak
ēkānag	yagāna
ēn	īn
ēn	īn
endag	anda
erānšahr	erānšahr
ērmān	ērmān
ēš	xēš
estān	estān
ēw	ē
farrox	farrox
frabīh	farbīh
fradāg	fardā
frahang	farhang
frahanǰ	farhanǰ
frahixtag	farhixta
frahixtan	farhixtan
framān	farmān
framānburdār	farmānbardār
framāy	farmāy
frāmōš	farāmōš
frāmōš	farāmōš
framūdan	farmūdan
frāmuštan	farāmuštan
frasang	farsang
frasp	farasp
frawār	farwāra
frawardīn	farwardīn
frāx	farāx
frayād	faryād
frāz	farāz
frazānag	farzāna
frazand	farzand
frazēn	farzīn
frēb	firēb
frēb	firēb
frēftan	firēftan
freh	firih
frēstādan  frēstdan	firistādan
frōd	furōd
frōg	furōy
frōxš	furōš
frōxtan	furōxtan
frušag	furša
gabr	gōr
gač	gač
gādan	gādan
gāh	gāh
gāh	gāh
gāhānbār	gāhanbār
gāhbed	gahbad
gahl	gāl
gāhwārag	gāhwāra
galōg	gulō
gām	gām
gānag	gāna
gand	gand
gandag	ganda
gandanāg	gandanā
gandum	gandum
ganǰ	ganǰ
ganǰwar	ganǰwar
gar	gar
gar	gar
